playerID,teamID,age,points,nameFirst,nameLast
wheelza01,PHI,32.0,837.5726,Zack,Wheeler
hendrli01,CHA,33.0,799.68353,Liam,Hendriks
woodrbr01,MIL,29.0,784.91754,Brandon,Woodruff
romanjo03,TOR,29.0,755.96954,Jordan,Romano
claseem01,CLE,24.0,744.04395,Emmanuel,Clase
colege01,NYA,32.0,697.3171,Gerrit,Cole
iglesra01,LAA,32.0,691.00275,Raisel,Iglesias
peralfr01,MIL,26.0,683.6169,Freddy,Peralta
burneco01,MIL,28.0,666.8848,Corbin,Burnes
verlaju01,HOU,39.0,660.9405,Justin,Verlander
haderjo01,MIL,28.0,647.9719,Josh,Hader
friedma01,ATL,28.0,646.11597,Max,Fried
nolaaa01,PHI,29.0,641.8193,Aaron,Nola
degroja01,NYN,34.0,635.86633,Jacob,deGrom
leclejo01,TEX,29.0,630.36084,Jose,Leclerc
gausmke01,TOR,31.0,620.3332,Kevin,Gausman
sotogr01,DET,27.0,607.1945,Gregory,Soto
diazed04,NYN,28.0,597.69147,Edwin,Diaz
giolilu01,CHA,28.0,587.8097,Lucas,Giolito
ohtansh01,LAA,28.0,587.47614,Shohei,Ohtani
rodried05,DET,29.0,582.9665,Eduardo,Rodriguez
sewalpa01,SEA,32.0,580.3406,Paul,Sewald
lynnla01,CHA,35.0,567.40814,Lance,Lynn
biebesh01,CLE,27.0,561.8389,Shane,Bieber
stromma01,CHN,31.0,556.5119,Marcus,Stroman
bassich01,OAK,33.0,553.42676,Chris,Bassitt
buehlwa01,LAN,28.0,546.07874,Walker,Buehler
eovalna01,BOS,32.0,542.537,Nathan,Eovaldi
chapmar01,NYA,34.0,537.5563,Aroldis,Chapman
marquge01,COL,27.0,531.80005,German,Marquez
pressry01,HOU,34.0,528.93744,Ryan,Pressly
barnema01,BOS,32.0,521.43744,Matt,Barnes
ceasedy01,CHA,27.0,517.6606,Dylan,Cease
uriasju01,LAN,26.0,514.4937,Julio,Urias
flexech01,SEA,28.0,514.4308,Chris,Flexen
yateski01,ATL,35.0,511.82986,Kirby,Yates
darviyu01,SDN,36.0,504.96198,Yu,Darvish
alcansa01,MIA,27.0,499.2402,Sandy,Alcantara
manaese01,OAK,30.0,497.53043,Sean,Manaea
reyesal02,SLN,28.0,496.959,Alex,Reyes
anderia01,ATL,24.0,496.6948,Ian,Anderson
nerishe01,HOU,33.0,496.4979,Hector,Neris
ryuhy01,TOR,35.0,496.47397,Hyun Jin,Ryu
mizeca01,DET,25.0,494.09274,Casey,Mize
mcclash01,TBA,25.0,493.90518,Shane,McClanahan
berrijo01,TOR,28.0,491.12494,Jose,Berrios
bauertr01,LAN,31.0,480.10483,Trevor,Bauer
manoaal01,TOR,24.0,479.75156,Alek,Manoah
whitlga01,BOS,26.0,477.83328,Garrett,Whitlock
bednada01,PIT,28.0,472.8684,David,Bednar
castilu02,CIN,30.0,472.56784,Luis,Castillo
obergsc01,COL,32.0,464.59586,Scott,Oberg
valdefr01,HOU,29.0,463.98984,Framber,Valdez
civalaa01,CLE,27.0,463.1024,Aaron,Civale
mahlety01,CIN,28.0,461.6044,Tyler,Mahle
kimbrcr01,CHA,34.0,459.51083,Craig,Kimbrel
lopezpa01,MIA,26.0,456.17197,Pablo,Lopez
greench03,NYA,31.0,454.7584,Chad,Green
desclan01,SFN,32.0,451.67984,Anthony,DeSclafani
kaprija01,OAK,28.0,449.09464,James,Kaprielian
irvinco01,OAK,28.0,448.32806,Cole,Irvin
webblo01,SFN,26.0,444.1864,Logan,Webb
ruizjo01,CHA,28.0,439.84518,Jose,Ruiz
flaheja01,SLN,27.0,438.78552,Jack,Flaherty
meansjo01,BAL,29.0,437.97806,John,Means
bardda01,COL,37.0,436.9213,Daniel,Bard
snellbl01,SDN,30.0,436.42477,Blake,Snell
gilbelo01,SEA,25.0,436.33444,Logan,Gilbert
urquijo01,HOU,27.0,435.76688,Jose,Urquidy
galleza01,ARI,27.0,431.26117,Zac,Gallen
musgrjo01,SDN,30.0,430.7241,Joe,Musgrove
wainwad01,SLN,41.0,430.01736,Adam,Wainwright
alzolad01,CHN,27.0,429.91916,Adbert,Alzolay
rogertr01,MIA,25.0,428.89914,Trevor,Rogers
housead01,MIL,29.0,426.13705,Adrian,Houser
scherma01,NYN,38.0,425.39896,Max,Scherzer
steckdr01,SEA,31.0,422.94116,Drew,Steckenrider
matzst01,SLN,31.0,420.90112,Steven,Matz
